"","id","county","x.cen","y.cen","xmin","xmax","ymin","ymax","sqkm","inclusion","ppt"
"3376",3376,"LOS ANGELES",151023.41877722,-384929.12721212,-118.409334883677,-118.298470508025,34.4942637294172,34.5859171004757,100,1,414.596898803711
"3377",3377,"LOS ANGELES",161023.41877722,-384929.12721212,-118.300425279396,-118.189440190975,34.4925967832942,34.5843519844393,100,1,367.950557793511
"3378",3378,"LOS ANGELES",171023.41877722,-384929.12721212,-118.191520160876,-118.080414663271,34.4908263510276,34.5826832662844,100,1,259.966100311279
"3379",3379,"LOS ANGELES",181023.41877722,-384929.12721212,-118.082619815218,-117.971394212926,34.4889524390867,34.5809109521366,100,1,209.708899383545
"3380",3380,"LOS ANGELES",191023.41877722,-384929.12721212,-117.973724529447,-117.862379127874,34.4869750543173,34.5790350485007,100,1,180.214600219727
"3381",3381,"LOS ANGELES",201023.41877722,-384929.12721212,-117.864834590507,-117.753369695966,34.4848942039424,34.577055562261,100,1,176.982777404785
"3382",3382,"SAN BERNARDINO",211023.41877722,-384929.12721212,-117.755950285257,-117.644366204959,34.4827098955611,34.5749725006803,100,1,178.726699676514
"3383",3383,"SAN BERNARDINO",221023.41877722,-384929.12721212,-117.647071900469,-117.535368942519,34.4804221371492,34.5727858713998,100,1,205.942099609375
"3384",3384,"SAN BERNARDINO",231023.41877722,-384929.12721212,-117.538199722818,-117.426378196212,34.4780309370582,34.5704956824396,100,1,199.049098815918
"3385",3385,"SAN BERNARDINO",241023.41877722,-384929.12721212,-117.429334038884,-117.317394253502,34.4755363040157,34.5681019421975,100,1,173.465100097656
"3386",3386,"SAN BERNARDINO",251023.41877722,-384929.12721212,-117.320475135142,-117.208417401744,34.4729382471245,34.5656046594494,100,1,154.22977871365
"3387",3387,"SAN BERNARDINO",261023.41877722,-384929.12721212,-117.211623297963,-117.099447928181,34.4702367758629,34.5630038433487,100,1,158.659299468994
"3388",3388,"SAN BERNARDINO",271023.41877722,-384929.12721212,-117.102778813602,-116.990486119938,34.4674319000838,34.560299503426,100,1,218.167600250244
"3389",3389,"SAN BERNARDINO",281023.41877722,-384929.12721212,-116.993941968201,-116.881532264021,34.4645236300148,34.557491649589,100,1,152.212100524902
"3390",3390,"SAN BERNARDINO",291023.41877722,-384929.12721212,-116.88511304778,-116.772586647307,34.4615119762579,34.554580292122,100,1,168.596111043294
"3391",3391,"SAN BERNARDINO",301023.41877722,-384929.12721212,-116.776292338234,-116.663649556547,34.458396949789,34.5515654416857,100,1,168.916099700928
"3392",3392,"SAN BERNARDINO",311023.41877722,-384929.12721212,-116.667480125329,-116.554721278353,34.4551785619574,34.5484471093167,100,1,166.913900756836
"3393",3393,"SAN BERNARDINO",321023.41877722,-384929.12721212,-116.558676694696,-116.445802099198,34.4518568244859,34.5452253064273,100,1,163.228400268555
"3394",3394,"SAN BERNARDINO",331023.41877722,-384929.12721212,-116.449882331827,-116.336892305414,34.4484317494699,34.5419000448052,100,1,147.819500198364
"3395",3395,"SAN BERNARDINO",341023.41877722,-384929.12721212,-116.341097322073,-116.227992183181,34.4449033493774,34.5384713366128,100,1,161.87966647678
"3396",3396,"SAN BERNARDINO",351023.41877722,-384929.12721212,-116.232321950634,-116.119102018529,34.4412716370485,34.5349391943873,100,1,162.070699462891
